tag,table,run,query_id,query_label,engine_ms,bytes_scanned,rows_returned,status,execution_id
optimized,transactions_optimized,3,Q11,Multi-category fraud pattern,692,191431,0,SUCCEEDED,08a27085-bbfb-4be4-a338-b4aa499fbb82
optimized,transactions_optimized,3,Q12,ATM transaction analysis,760,4837524,0,SUCCEEDED,88a54b08-e675-4906-814c-78af4ec70e2f
optimized,transactions_optimized,3,Q13,High-value customer analysis (travel + healthcare),928,10049786,0,SUCCEEDED,3f5cda8c-0ab0-4c53-8d7a-202bbd2d2f2b
optimized,transactions_optimized,3,Q14,Daily transaction trend for online category,653,840011,0,SUCCEEDED,2fb80edd-2b5b-4a4a-94b0-3af192582022
optimized,transactions_optimized,3,Q15,Prepaid card usage patterns,1032,5398924,0,SUCCEEDED,dd849e9e-633c-4517-a547-43d826f804ae
optimized,transactions_optimized,3,Q16,Cross-region spend comparison (entertainment),750,3743519,0,SUCCEEDED,c25852d4-b88a-42cc-89ef-4f13001b1bd0
optimized,transactions_optimized,3,Q17,Fraud risk score by channel (financial category),453,45006,0,SUCCEEDED,aba3e2a5-6c1d-4309-a85c-06a717c2d95e
optimized,transactions_optimized,3,Q18,EUR transactions analysis,719,6599612,0,SUCCEEDED,a0a05a9a-f4dc-4d9c-8d6a-bf9915432e62
optimized,transactions_optimized,3,Q19,New customer transaction patterns,871,5095812,0,SUCCEEDED,ac82f8d3-2adf-4a65-bcd6-ada7ae35b8bb
optimized,transactions_optimized,3,Q20,Large transaction fraud check (multi-category),793,3713513,0,SUCCEEDED,3dd67f31-c139-4b14-a2ff-2dfea94d8f0a
optimized,transactions_optimized,3,Q21,Monthly fraud trend (dining),649,2842148,0,SUCCEEDED,79ae2b8a-9618-434b-a6c1-bdfe5f64f666
optimized,transactions_optimized,3,Q22,AP region high-value retail,853,9149386,0,SUCCEEDED,d4f64995-7681-4e26-8bab-20b8b2c83f77
optimized,transactions_optimized,3,Q23,Channel efficiency for groceries,,,,ERROR,
optimized,transactions_optimized,3,Q24,Debit card category spend distribution,734,12862221,0,SUCCEEDED,b275901b-1567-4771-a385-339a294d88ab
optimized,transactions_optimized,3,Q25,"Combined fraud and spend summary (all categories, for baseline comparison)",982,11803375,0,SUCCEEDED,a4592f56-4b8a-4723-9ccc-3356d3503c59
